EVI,LST,MNDWI,NDBI,NDVI,NO2_Emissions,Pop_Density,Relative_Humidity,SAVI,Wind_Speed,Longitude,Latitude,Building_Density_Ratio,Volume_Density,Dist_Water,Dist_Park,Dist_Highway,Street_Density,Height_Variability,SVF_Proxy,Air_Temp_C,Albedo,MODIS_LST,Soil_Moisture,Surface_Pressure_hPa,Relative_Wealth_Index,Dist_to_RWI_Node
0.892516941,36.26964167,-0.149810508,-0.015696537,0.155339673,0.000114245,13.37793159,44.01000801,0.233005095,1.316944944,77.57177057,12.90025664,0.443173447,,523.6645809,32.38487696,126.536654,762.8034051,0.0,0.556826553,25.17601381,12519.5162,34.41,0.133605331,911.1730456,1.466,926.3763286236067
0.757597403,29.9343416,-0.047927629,-0.036503527,0.082115099,0.000111416,6.732914448,44.01000801,0.123170461,1.316944944,77.58165204,12.90025664,0.210258516,,23.26526859,2.046513638,674.3578728,1328.787241,0.0,0.789741484,25.17601381,12258.6017,33.95,0.133605331,911.1730456,1.466,1175.6395057483383
0.362793863,34.67171732,-0.135709301,0.033230536,0.081369452,0.000111416,9.148172379,44.01000801,0.122051927,1.316944944,77.5852453,12.90025664,0.665264799,,410.2909779,363.5293316,669.6073711,663.8407884,0.0,0.334735201,25.17601381,12906.9192,33.57,0.133605331,911.1730456,1.466,1464.0955470376898
1.457438416,32.26201322,-0.15074636,-0.066585697,0.228033081,0.000109656,6.794517517,44.01000801,0.34204296,1.316944944,77.59333014,12.90025664,0.701524944,,277.9315597,197.8170861,664.5797852,1414.341978,0.0,0.298475056,25.17601381,12137.2512,33.77,0.133605331,911.1730456,1.561,941.5082067639072
0.536430195,33.31134536,-0.115602069,-0.022294017,0.115569286,0.000109656,6.86900425,44.01000801,0.173350935,1.316944944,77.59602508,12.90025664,0.740136748,22.20410245,253.2132257,221.6988285,509.1212263,1244.431671,0.0,0.259863252,25.17601381,12584.2982,33.77,0.133605331,911.1730456,1.561,880.1794017392743
0.457330344,35.56894757,-0.099962808,0.005953276,0.081149794,0.000109656,7.75691843,44.01000801,0.121722298,1.316944944,77.5969234,12.90025664,1.442526661,43.27579982,214.9773688,255.4307642,417.3094256,608.0553634,0.0,0.0,25.17601381,12943.0097,33.77,0.133605331,911.1730456,1.561,880.6458011243337
0.551896175,36.19102721,-0.134569615,0.015755218,0.100814529,0.000109656,10.91548347,44.01000801,0.151219039,1.316944944,77.59872003,12.90025664,0.304512298,,121.9463219,313.4466454,230.0180443,919.8625481,0.0,0.695487702,25.17601381,13231.4572,33.77,0.133605331,911.1730456,1.561,913.385341903173
0.522451219,34.77254891,-0.132621005,0.015092775,0.098556079,0.000110806,9.863251686,44.01000801,0.147831423,1.316944944,77.60590655,12.90025664,0.187541462,,327.3071467,409.3946096,526.6619716,1048.260273,0.0,0.812458538,25.17601381,12894.6022,33.49,0.143544853,911.1730456,1.561,1352.9462980871638
0.65683527,33.47882834,-0.142556161,0.011716461,0.108686171,0.000110806,8.197494507,44.01000801,0.163026258,1.316944944,77.6086015,12.90025664,0.179255382,,294.5457019,401.5625788,817.6789516,112.0873769,0.0,0.820744618,25.17601381,13655.0367,33.49,0.143544853,911.1730456,1.743,1380.8688521488757
0.474099186,33.23956694,-0.143151402,-0.003656043,0.113865778,0.000109583,5.225893497,44.01000801,0.170795723,1.316944944,77.61039813,12.90025664,0.780931378,,130.5912029,477.0553895,1012.181287,1028.119733,0.0,0.219068622,25.17601381,13410.4882,33.02,0.143544853,911.1730456,1.743,1236.664270432553
